State,Number of CoCs,"Overall Homeless, 2014","Sheltered ES Homeless, 2014","Sheltered TH Homeless, 2014","Sheltered SH Homeless, 2014","Sheltered Total Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered Total Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered Total Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered ES Homeless Veterans, 2014","Sheltered TH Homeless Veterans, 2014","Sheltered SH Homeless Veterans, 2014","Sheltered Total Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
TX,12,"28,495","10,601","7,494",133,"18,228","10,267","19,177","6,583","3,042",133,"9,758","9,419","9,318","4,018","4,452","8,470",848,"2,784","1,193","1,356","2,549",235,"5,416","2,140",91,"2,231","3,185","4,952","1,801",91,"1,892","3,060",464,339,339,125,"2,718",821,748,7,"1,576","1,142"
UT,3,"3,081","1,762",959,47,"2,768",313,"1,729","1,145",348,47,"1,540",189,"1,352",617,611,"1,228",124,398,203,177,380,18,422,335,45,380,42,386,301,45,346,40,36,34,34,2,317,93,200,0,293,24
VA,16,"7,020","4,281","1,987",62,"6,330",690,"4,234","2,876",632,62,"3,570",664,"2,786","1,405","1,355","2,760",26,883,457,416,873,10,"1,021",681,49,730,291,965,625,49,674,291,56,56,56,0,620,315,210,10,535,85
VI,1,448,51,34,0,85,363,425,32,30,0,62,363,23,19,4,23,0,9,8,1,9,0,88,1,0,1,87,88,1,0,1,87,0,0,0,0,32,1,0,0,1,31
VT,2,"1,559","1,031",359,6,"1,396",163,823,536,162,6,704,119,736,495,197,692,44,239,161,60,221,18,283,224,4,228,55,199,155,4,159,40,84,69,69,15,120,34,77,0,111,9
WA,7,"18,442","6,202","6,296",42,"12,540","5,902","11,390","4,280","1,935",42,"6,257","5,133","7,052","1,922","4,361","6,283",769,"2,182",589,"1,342","1,931",251,"2,535","1,099",30,"1,129","1,406","2,311",985,30,"1,015","1,296",224,114,114,110,"1,433",570,517,2,"1,089",344
WI,4,"6,055","3,111","2,541",60,"5,712",343,"2,929","1,772",844,60,"2,676",253,"3,126","1,339","1,697","3,036",90,"1,007",422,555,977,30,524,426,21,447,77,436,338,21,359,77,88,88,88,0,520,162,331,3,496,24
WV,4,"2,013","1,189",381,13,"1,583",430,"1,488",928,234,13,"1,175",313,525,261,147,408,117,173,83,48,131,42,482,300,4,304,178,424,275,4,279,145,58,25,25,33,333,213,90,0,303,30
WY,1,757,268,295,0,563,194,463,209,118,0,327,136,294,59,177,236,58,89,18,58,76,13,144,104,0,104,40,105,86,0,86,19,39,18,18,21,116,38,57,0,95,21
Total,414,"576,450","254,327","144,710","2,014","401,051","175,399","360,189","139,355","67,779","2,014","209,148","151,041","216,261","114,972","76,931","191,903","24,358","67,613","35,390","24,239","59,629","7,984","99,132","39,207","1,358","40,565","58,567","83,989","29,845","1,358","31,203","52,786","15,143","9,362","9,362","5,781","49,689","13,599","18,246",274,"32,119","17,570"
