State,Number of CoCs,"Overall Homeless, 2016","Sheltered ES Homeless, 2016","Sheltered TH Homeless, 2016","Sheltered SH Homeless, 2016","Sheltered Total Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered ES Homeless Individuals, 2016","Sheltered TH Homeless Individuals, 2016","Sheltered SH Homeless Individuals, 2016","Sheltered Total Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered ES Homeless People in Families, 2016","Sheltered TH Homeless People in Families, 2016","Sheltered Total Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Homeless Family Households, 2016","Sheltered ES Homeless Family Households, 2016","Sheltered TH Homeless Family Households, 2016","Sheltered Total Homeless Family Households, 2016","Unsheltered Homeless Family Households, 2016","Chronically Homeless, 2016","Sheltered ES Chronically Homeless, 2016","Sheltered SH Chronically Homeless, 2016","Sheltered Total Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered ES Chronically Homeless Individuals, 2016","Sheltered SH Chronically Homeless Individuals, 2016","Sheltered Total Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered ES Chronically Homeless People in Families, 2016","Sheltered Total Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered ES Homeless Veterans, 2016","Sheltered TH Homeless Veterans, 2016","Sheltered SH Homeless Veterans, 2016","Sheltered Total Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2016","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2016","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Youth Under 18, 2016","Sheltered ES Homeless Unaccompanied Youth Under 18, 2016","Sheltered TH Homeless Unaccompanied Youth Under 18, 2016","Sheltered Total Homeless Unaccompanied Youth Under 18, 2016","Unsheltered Homeless Unaccompanied Youth Under 18, 2016","Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2016","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2016","Homeless Parenting Youth (Under 25), 2016","Sheltered ES Homeless Parenting Youth (Under 25), 2016","Sheltered TH Homeless Parenting Youth (Under 25), 2016","Sheltered Total Homeless Parenting Youth (Under 25), 2016","Unsheltered Homeless Parenting Youth (Under 25), 2016","Homeless Parenting Youth Under 18, 2016","Sheltered ES Homeless Parenting Youth Under 18, 2016","Sheltered TH Homeless Parenting Youth Under 18, 2016","Sheltered Total Homeless Parenting Youth Under 18, 2016","Unsheltered Homeless Parenting Youth Under 18, 2016","Homeless Parenting Youth Age 18-24, 2016","Sheltered ES Homeless Parenting Youth Age 18-24, 2016","Sheltered TH Homeless Parenting Youth Age 18-24, 2016","Sheltered Total Homeless Parenting Youth Age 18-24, 2016","Unsheltered Homeless Parenting Youth Age 18-24, 2016","Homeless Children of Parenting Youth, 2016","Sheltered ES Homeless Children of Parenting Youth, 2016","Sheltered TH Homeless Children of Parenting Youth, 2016","Sheltered Total Homeless Children of Parenting Youth, 2016","Unsheltered Homeless Children of Parenting Youth, 2016"
OH,9,"10,404","6,530","2,647",89,"9,266","1,138","6,946","4,221","1,580",89,"5,890","1,056","3,458","2,309","1,067","3,376",82,"1,079",719,342,"1,061",18,778,401,38,439,339,733,365,38,403,330,45,36,36,9,930,334,498,13,845,85,622,366,190,1,557,65,46,38,6,44,2,576,328,184,1,513,63,225,127,92,219,6,5,0,5,5,0,220,127,87,214,6,340,205,127,332,8
OK,8,"4,107","2,425",638,24,"3,087","1,020","2,997","1,731",365,24,"2,120",877,"1,110",694,273,967,143,360,217,96,313,47,696,390,15,405,291,610,314,15,329,281,86,76,76,10,358,178,81,1,260,98,410,201,64,1,266,144,39,35,0,35,4,371,166,64,1,231,140,50,32,9,41,9,0,0,0,0,0,50,32,9,41,9,70,46,14,60,10
OR,7,"13,238","3,138","2,090",8,"5,236","8,002","9,379","2,325","1,325",8,"3,658","5,721","3,859",813,765,"1,578","2,281","1,315",265,241,506,809,"3,460",546,8,554,"2,906","3,077",498,8,506,"2,571",383,48,48,335,"1,341",261,341,1,603,738,"1,175",216,202,0,418,757,236,42,16,58,178,939,174,186,0,360,579,133,26,66,92,41,0,0,0,0,0,133,26,66,92,41,169,40,79,119,50
PA,16,"15,339","7,784","5,689",191,"13,664","1,675","8,599","4,634","2,255",191,"7,080","1,519","6,740","3,150","3,434","6,584",156,"2,200",989,"1,163","2,152",48,"1,325",646,141,787,538,"1,209",532,141,673,536,116,114,114,2,"1,136",339,741,8,"1,088",48,868,445,289,2,736,132,63,36,9,45,18,805,409,280,2,691,114,549,223,319,542,7,4,1,3,4,0,545,222,316,538,7,779,314,457,771,8
PR,2,"4,418",343,921,57,"1,321","3,097","3,799",305,537,57,899,"2,900",619,38,384,422,197,188,13,126,139,49,"1,772",157,54,211,"1,561","1,623",149,54,203,"1,420",149,8,8,141,146,13,24,0,37,109,163,14,37,1,52,111,6,4,0,4,2,157,10,37,1,48,109,31,1,26,27,4,0,0,0,0,0,31,1,26,27,4,43,1,34,35,8
RI,1,"1,160",822,301,0,"1,123",37,859,682,140,0,822,37,301,140,161,301,0,93,41,52,93,0,144,141,0,141,3,136,133,0,133,3,8,8,8,0,89,20,69,0,89,0,64,59,4,0,63,1,0,0,0,0,0,64,59,4,0,63,1,21,3,18,21,0,0,0,0,0,0,21,3,18,21,0,31,5,26,31,0
SC,4,"5,051","1,832","1,517",12,"3,361","1,690","3,758","1,359",969,12,"2,340","1,418","1,293",473,548,"1,021",272,409,153,176,329,80,988,436,12,448,540,913,383,12,395,518,75,53,53,22,738,147,304,1,452,286,266,84,67,0,151,115,20,10,4,14,6,246,74,63,0,137,109,48,13,31,44,4,2,1,1,2,0,46,12,30,42,4,76,20,52,72,4
SD,1,"1,072",616,271,0,887,185,548,326,120,0,446,102,524,290,151,441,83,170,85,58,143,27,44,37,0,37,7,34,30,0,30,4,10,7,7,3,120,24,85,0,109,11,77,43,26,0,69,8,9,5,4,9,0,68,38,22,0,60,8,19,10,6,16,3,1,1,0,1,0,18,9,6,15,3,25,14,7,21,4
TN,10,"8,779","3,729","2,037",7,"5,773","3,006","6,652","2,838","1,357",7,"4,202","2,450","2,127",891,680,"1,571",556,710,302,232,534,176,"1,782",687,7,694,"1,088","1,640",606,7,613,"1,027",142,81,81,61,831,286,367,1,654,177,416,153,96,0,249,167,26,18,4,22,4,390,135,92,0,227,163,107,38,36,74,33,0,0,0,0,0,107,38,36,74,33,147,50,58,108,39
TX,11,"23,122","10,448","5,669",97,"16,214","6,908","15,959","7,076","2,142",97,"9,315","6,644","7,163","3,372","3,527","6,899",264,"2,297","1,062","1,154","2,216",81,"3,689","1,569",68,"1,637","2,052","3,534","1,432",68,"1,500","2,034",155,137,137,18,"1,768",647,618,20,"1,285",483,"1,309",546,218,0,764,545,187,108,15,123,64,"1,122",438,203,0,641,481,309,138,165,303,6,5,0,5,5,0,304,138,160,298,6,465,198,254,452,13
UT,3,"2,807","1,984",587,0,"2,571",236,"1,828","1,290",322,0,"1,612",216,979,694,265,959,20,298,210,81,291,7,190,180,0,180,10,168,158,0,158,10,22,22,22,0,335,114,197,0,311,24,150,100,32,0,132,18,18,17,0,17,1,132,83,32,0,115,17,17,13,4,17,0,0,0,0,0,0,17,13,4,17,0,30,22,8,30,0
VA,16,"6,268","3,900","1,559",43,"5,502",766,"3,959","2,698",504,43,"3,245",714,"2,309","1,202","1,055","2,257",52,737,394,326,720,17,793,543,25,568,225,750,500,25,525,225,43,43,43,0,515,305,132,2,439,76,322,223,55,0,278,44,12,12,0,12,0,310,211,55,0,266,44,102,55,43,98,4,1,0,1,1,0,101,55,42,97,4,146,66,76,142,4
VI,1,341,53,36,0,89,252,308,32,24,0,56,252,33,21,12,33,0,11,6,5,11,0,26,8,0,8,18,26,8,0,8,18,0,0,0,0,32,2,0,0,2,30,8,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,2,"1,117",660,297,4,961,156,655,377,135,4,516,139,462,283,162,445,17,158,95,57,152,6,127,81,0,81,46,120,74,0,74,46,7,7,7,0,110,22,75,0,97,13,71,38,24,0,62,9,1,0,1,1,0,70,38,23,0,61,9,46,24,19,43,3,0,0,0,0,0,46,24,19,43,3,49,26,20,46,3
WA,7,"20,827","6,752","5,567",42,"12,361","8,466","13,900","4,659","1,688",42,"6,389","7,511","6,927","2,093","3,879","5,972",955,"2,185",659,"1,219","1,878",307,"2,567",957,24,981,"1,586","2,307",801,24,825,"1,482",260,156,156,104,"1,484",548,449,2,999,485,"1,307",339,375,0,714,593,92,54,23,77,15,"1,215",285,352,0,637,578,295,74,205,279,16,6,0,6,6,0,289,74,199,273,16,455,87,347,434,21
WI,4,"5,685","3,044","2,167",64,"5,275",410,"2,886","1,682",749,64,"2,495",391,"2,799","1,362","1,418","2,780",19,862,414,442,856,6,363,269,27,296,67,276,182,27,209,67,87,87,87,0,415,107,285,0,392,23,337,170,98,5,273,64,25,19,1,20,5,312,151,97,5,253,59,188,76,112,188,0,0,0,0,0,0,188,76,112,188,0,267,103,164,267,0
WV,4,"1,387",963,278,11,"1,252",135,"1,039",724,169,11,904,135,348,239,109,348,0,113,79,34,113,0,165,117,0,117,48,161,113,0,113,48,4,4,4,0,143,68,57,1,126,17,95,69,13,1,83,12,6,5,0,5,1,89,64,13,1,78,11,19,15,4,19,0,0,0,0,0,0,19,15,4,19,0,35,29,6,35,0
WY,1,857,297,194,0,491,366,517,184,93,0,277,240,340,113,101,214,126,110,40,37,77,33,91,33,0,33,58,80,29,0,29,51,11,4,4,7,87,36,20,0,56,31,31,16,8,0,24,7,3,1,0,1,2,28,15,8,0,23,5,15,8,4,12,3,0,0,0,0,0,15,8,4,12,3,17,8,6,14,3
Total,402,"549,928","254,306","117,579","1,686","373,571","176,357","355,212","138,311","58,011","1,686","198,008","157,204","194,716","115,995","59,568","175,563","19,153","61,265","36,203","19,062","55,265","6,000","86,132","29,253",855,"30,108","56,024","77,486","23,741",855,"24,596","52,890","8,646","5,512","5,512","3,134","39,471","10,147","15,994",263,"26,404","13,067","35,686","11,507","7,638",43,"19,188","16,498","3,824","1,627",591,"2,218","1,606","31,862","9,880","7,047",43,"16,970","14,892","9,892","5,607","3,765","9,372",520,92,24,66,90,2,"9,800","5,583","3,699","9,282",518,"13,318","7,399","5,257","12,656",662
